number_of_inoculated_wells,inoculum,p_i,taxon_pure_low
2760,3.0,0.009000000000000001,1.0
2760,4.0,0.018000000000000002,1.0
2760,5.0,0.034,1.0
2852,1.0,0.004,1.0
2852,1.27,0.004,1.0
2852,1.96,0.005,1.0
2852,2.0,0.005,1.0
2852,3.0,0.009000000000000001,1.0
2852,4.0,0.017,1.0
2852,5.0,0.036000000000000004,1.0
2944,1.0,0.004,1.0
2944,1.27,0.004,1.0
2944,1.96,0.005,1.0
2944,2.0,0.005,1.0
2944,3.0,0.009000000000000001,1.0
2944,4.0,0.016,1.0
2944,5.0,0.036000000000000004,1.0
3036,1.0,0.004,1.0
3036,1.27,0.004,1.0
3036,1.96,0.005,1.0
3036,2.0,0.005,1.0
3036,3.0,0.008,1.0
3036,4.0,0.017,1.0
3036,5.0,0.033,1.0
3128,1.0,0.004,1.0
3128,1.27,0.004,1.0
3128,1.96,0.005,1.0
3128,2.0,0.005,1.0
3128,3.0,0.009000000000000001,1.0
3128,4.0,0.016,1.0
3128,5.0,0.031,1.0
3220,1.0,0.004,1.0
3220,1.27,0.004,1.0
3220,1.96,0.004,1.0
3220,2.0,0.004,1.0
3220,3.0,0.007,1.0
3220,4.0,0.016,1.0
3220,5.0,0.031,1.0
3312,1.0,0.004,1.0
3312,1.27,0.004,1.0
3312,1.96,0.004,1.0
3312,2.0,0.004,1.0
3312,3.0,0.008,1.0
3312,4.0,0.015,1.0
3312,5.0,0.03,1.0
3404,1.0,0.004,1.0
3404,1.27,0.004,1.0
3404,1.96,0.004,1.0
3404,2.0,0.004,1.0
3404,3.0,0.007,1.0
3404,4.0,0.014,1.0
3404,5.0,0.031,1.0
3496,1.0,0.003,1.0
3496,1.27,0.004,1.0
3496,1.96,0.004,1.0
3496,2.0,0.005,1.0
3496,3.0,0.008,1.0
3496,4.0,0.014,1.0
3496,5.0,0.03,1.0
3588,1.0,0.004,1.0
3588,1.27,0.003,1.0
3588,1.96,0.004,1.0
3588,2.0,0.005,1.0
3588,3.0,0.007,1.0
3588,4.0,0.014,1.0
3588,5.0,0.027,1.0
3680,1.0,0.003,1.0
3680,1.27,0.003,1.0
3680,1.96,0.004,1.0
3680,2.0,0.004,1.0
3680,3.0,0.007,1.0
3680,4.0,0.014,1.0
3680,5.0,0.028,1.0
3772,1.0,0.003,1.0
3772,1.27,0.003,1.0
3772,1.96,0.004,1.0
3772,2.0,0.004,1.0
3772,3.0,0.008,1.0
3772,4.0,0.014,1.0
3772,5.0,0.029,1.0
3864,1.0,0.003,1.0
3864,1.27,0.003,1.0
3864,1.96,0.004,1.0
3864,2.0,0.004,1.0
3864,3.0,0.007,1.0
3864,4.0,0.013000000000000001,1.0
3864,5.0,0.027,1.0
3956,1.0,0.003,1.0
3956,1.27,0.003,1.0
3956,1.96,0.004,1.0
3956,2.0,0.004,1.0
3956,3.0,0.006,1.0
3956,4.0,0.014,1.0
3956,5.0,0.026000000000000002,1.0
4048,1.0,0.003,1.0
4048,1.27,0.003,1.0
4048,1.96,0.004,1.0
4048,2.0,0.004,1.0
4048,3.0,0.007,1.0
4048,4.0,0.012,1.0
4048,5.0,0.027,1.0
4140,1.0,0.003,1.0
4140,1.27,0.003,1.0
4140,1.96,0.004,1.0
4140,2.0,0.004,1.0
4140,3.0,0.006,1.0
4140,4.0,0.012,1.0
4140,5.0,0.025,1.0
4232,1.0,0.003,1.0
4232,1.27,0.003,1.0
4232,1.96,0.004,1.0
4232,2.0,0.004,1.0
4232,3.0,0.006,1.0
4232,4.0,0.012,1.0
4232,5.0,0.026000000000000002,1.0
4324,1.0,0.003,1.0
4324,1.27,0.003,1.0
4324,1.96,0.003,1.0
4324,2.0,0.004,1.0
4324,3.0,0.006,1.0
4324,4.0,0.013000000000000001,1.0
4324,5.0,0.025,1.0
4416,1.0,0.002,1.0
4416,1.27,0.003,1.0
4416,1.96,0.003,1.0
4416,2.0,0.003,1.0
4416,3.0,0.006,1.0
4416,4.0,0.011,1.0
4416,5.0,0.025,1.0
4508,1.0,0.003,1.0
4508,1.27,0.003,1.0
4508,1.96,0.003,1.0
4508,2.0,0.004,1.0
4508,3.0,0.006,1.0
4508,4.0,0.011,1.0
4508,5.0,0.023,1.0
4600,1.0,0.003,1.0
4600,1.27,0.003,1.0
4600,1.96,0.003,1.0
4600,2.0,0.004,1.0
4600,3.0,0.006,1.0
4600,4.0,0.012,1.0
4600,5.0,0.021,1.0
4692,1.0,0.003,1.0
4692,1.27,0.003,1.0
4692,1.96,0.003,1.0
4692,2.0,0.003,1.0
4692,3.0,0.006,1.0
4692,4.0,0.011,1.0
4692,5.0,0.023,1.0
4784,1.0,0.002,1.0
4784,1.27,0.002,1.0
4784,1.96,0.003,1.0
4784,2.0,0.003,1.0
4784,3.0,0.006,1.0
4784,4.0,0.01,1.0
4784,5.0,0.021,1.0
4876,1.0,0.003,2.0
4876,1.27,0.003,1.0
4876,1.96,0.003,1.0
4876,2.0,0.003,1.0
4876,3.0,0.005,1.0
4876,4.0,0.011,1.0
4876,5.0,0.021,1.0
4968,1.0,0.002,1.0
4968,1.27,0.003,1.0
4968,1.96,0.003,1.0
4968,2.0,0.003,1.0
4968,3.0,0.006,1.0
4968,4.0,0.01,1.0
4968,5.0,0.021,1.0
5060,1.0,0.002,1.0
5060,1.27,0.002,1.0
5060,1.96,0.003,1.0
5060,2.0,0.003,1.0
5060,3.0,0.005,1.0
5060,4.0,0.011,1.0
5060,5.0,0.02,1.0
5152,1.0,0.003,2.0
5152,1.27,0.003,2.0
5152,1.96,0.003,1.0
5152,2.0,0.003,1.0
5152,3.0,0.006,1.0
5152,4.0,0.01,1.0
5152,5.0,0.021,1.0
5244,1.0,0.002,1.0
5244,1.27,0.002,1.0
5244,1.96,0.003,1.0
5244,2.0,0.003,1.0
5244,3.0,0.006,1.0
5244,4.0,0.009000000000000001,1.0
5244,5.0,0.019,1.0
5336,1.0,0.002,1.0
5336,1.27,0.003,1.9500000000000028
5336,1.96,0.003,1.0
5336,2.0,0.003,1.0
5336,3.0,0.005,1.0
5336,4.0,0.01,1.0
5336,5.0,0.021,1.0
5428,1.0,0.002,1.0
5428,1.27,0.002,1.0
5428,1.96,0.003,1.0
5428,2.0,0.003,1.0
5428,3.0,0.005,1.0
5428,4.0,0.01,1.0
5428,5.0,0.019,1.0
5520,1.0,0.002,1.0
5520,1.27,0.002,1.0
5520,1.96,0.003,1.0
5520,2.0,0.003,1.0
5520,3.0,0.005,1.0
5520,4.0,0.009000000000000001,1.0
5520,5.0,0.019,1.0
5612,1.0,0.002,1.0
5612,1.27,0.002,1.0
5612,1.96,0.003,1.0
5612,2.0,0.003,1.0
5612,3.0,0.005,1.0
5612,4.0,0.01,1.0
5612,5.0,0.019,1.0
5704,1.0,0.002,1.0
5704,1.27,0.002,1.0
5704,1.96,0.003,1.0
5704,2.0,0.003,1.0
5704,3.0,0.005,1.0
5704,4.0,0.009000000000000001,1.0
5704,5.0,0.02,1.0
5796,1.0,0.002,1.0
5796,1.27,0.002,1.0
5796,1.96,0.003,1.0
5796,2.0,0.003,1.0
5796,3.0,0.005,1.0
5796,4.0,0.009000000000000001,1.0
5796,5.0,0.018000000000000002,1.0
5888,1.0,0.002,1.0
5888,1.27,0.002,1.0
5888,1.96,0.003,1.0
5888,2.0,0.003,1.0
5888,3.0,0.005,1.0
5888,4.0,0.009000000000000001,1.0
5888,5.0,0.019,1.0
5980,1.0,0.002,1.0
5980,1.27,0.002,1.0
5980,1.96,0.003,1.0
5980,2.0,0.003,1.0
5980,3.0,0.005,1.0
5980,4.0,0.009000000000000001,1.0
5980,5.0,0.017,1.0
6072,1.0,0.002,1.0
6072,1.27,0.002,1.0
6072,1.96,0.003,1.0
6072,2.0,0.003,1.0
6072,3.0,0.005,1.0
6072,4.0,0.009000000000000001,1.0
6072,5.0,0.017,1.0
6164,1.0,0.002,1.0
6164,1.27,0.002,1.0
6164,1.96,0.003,2.0
6164,2.0,0.003,1.0
6164,3.0,0.004,1.0
6164,4.0,0.009000000000000001,1.0
6164,5.0,0.018000000000000002,1.0
6256,1.0,0.002,1.0
6256,1.27,0.002,1.0
6256,1.96,0.003,1.0
6256,2.0,0.003,1.0
6256,3.0,0.004,1.0
6256,4.0,0.009000000000000001,1.0
6256,5.0,0.018000000000000002,1.0
6348,1.0,0.002,1.0
6348,1.27,0.002,1.0
6348,1.96,0.003,1.0
6348,2.0,0.003,1.0
6348,3.0,0.004,1.0
6348,4.0,0.008,1.0
6348,5.0,0.017,1.0
6440,1.0,0.002,1.0
6440,1.27,0.002,1.0
6440,1.96,0.003,2.0
6440,2.0,0.002,1.0
6440,3.0,0.005,1.0
6440,4.0,0.008,1.0
6440,5.0,0.017,1.0
6532,1.0,0.002,1.0
6532,1.27,0.002,1.0
6532,1.96,0.003,1.0
6532,2.0,0.002,1.0
6532,3.0,0.004,1.0
6532,4.0,0.008,1.0
6532,5.0,0.016,1.0
6624,1.0,0.002,1.0
6624,1.27,0.002,1.0
6624,1.96,0.002,1.0
6624,2.0,0.003,1.0
6624,3.0,0.005,1.0
6624,4.0,0.008,1.0
6624,5.0,0.016,1.0
6716,1.0,0.002,1.0
6716,1.27,0.002,1.0
6716,1.96,0.003,1.0
6716,2.0,0.002,1.0
6716,3.0,0.004,1.0
6716,4.0,0.008,1.0
6716,5.0,0.017,1.0
6808,1.0,0.002,1.0
6808,1.27,0.002,1.0
6808,1.96,0.002,1.0
6808,2.0,0.003,1.0
6808,3.0,0.004,1.0
6808,4.0,0.008,1.0
6808,5.0,0.016,1.0
6900,1.0,0.002,1.0
6900,1.27,0.002,1.0
6900,1.96,0.002,1.0
6900,2.0,0.003,2.0
6900,3.0,0.004,1.0
6900,4.0,0.008,1.0
6900,5.0,0.015,1.0
6992,1.0,0.002,1.0
6992,1.27,0.002,1.0
6992,1.96,0.002,1.0
6992,2.0,0.003,2.0
6992,3.0,0.004,1.0
6992,4.0,0.007,1.0
6992,5.0,0.015,1.0
7084,1.0,0.002,1.0
7084,1.27,0.002,1.0
7084,1.96,0.002,1.0
7084,2.0,0.002,1.0
7084,3.0,0.004,1.0
7084,4.0,0.008,1.0
7084,5.0,0.016,1.0
7176,1.0,0.002,1.0
7176,1.27,0.002,1.0
7176,1.96,0.002,1.0
7176,2.0,0.002,1.0
7176,3.0,0.004,1.0
7176,4.0,0.008,1.0
7176,5.0,0.016,1.0
7268,1.0,0.002,1.0
7268,1.27,0.002,1.0
7268,1.96,0.002,1.0
7268,2.0,0.002,1.0
7268,3.0,0.004,1.0
7268,4.0,0.008,1.0
7268,5.0,0.015,1.0
7360,1.0,0.002,1.0
7360,1.27,0.002,1.0
7360,1.96,0.002,1.0
7360,2.0,0.003,2.0
7360,3.0,0.004,1.0
7360,4.0,0.007,1.0
7360,5.0,0.014,1.0
7452,1.0,0.002,1.0
7452,1.27,0.002,1.0
7452,1.96,0.002,1.0
7452,2.0,0.002,1.0
7452,3.0,0.003,1.0
7452,4.0,0.006,1.0
7452,5.0,0.015,1.0
7544,1.0,0.002,2.0
7544,1.27,0.002,1.0
7544,1.96,0.002,1.0
7544,2.0,0.002,1.0
7544,3.0,0.004,1.0
7544,4.0,0.007,1.0
7544,5.0,0.014,1.0
7636,1.0,0.002,1.0
7636,1.27,0.002,1.0
7636,1.96,0.002,1.0
7636,2.0,0.002,1.0
7636,3.0,0.004,1.0
7636,4.0,0.007,1.0
7636,5.0,0.015,1.0
7728,1.0,0.002,2.0
7728,1.27,0.002,1.0
7728,1.96,0.002,1.0
7728,2.0,0.002,1.0
7728,3.0,0.004,1.0
7728,4.0,0.007,1.0
7728,5.0,0.014,1.0
7820,1.0,0.002,2.0
7820,1.27,0.002,1.0
7820,1.96,0.002,1.0
7820,2.0,0.002,1.0
7820,3.0,0.004,1.0
7820,4.0,0.007,1.0
