ID,Site,cell_counts_per_ml,rel_abund,num_wells_inoculated,num_isolates,cells_per_well
2843,FWC2,610000,0,460,0,2
2843,FWC3,25500000,0,460,1,2
2843,JLB,11000000,0,460,0,1.96
2843,JLB2c,3925000,0.000140367,460,0,2
2843,JLB3,14454000,0.000116107,460,0,2
2843,LKB,11700000,0.00E+00,460,0,2
2843,LKB2,10508460,0,460,0,2
2843,LKB3,25500000,0,460,0,2
2843,Tbon2,28600000,0,460,0,2
2843,Tbon3,18200000,0,460,0,2
5073,ARD2c,1640000,0,460,0,2
5073,ARD3,9520000,0,460,0,2
5073,CJ,8920000,0.018324389,460,0,1.27
5073,CJ2,7730000,0.005844249,460,0,2
5073,CJ3,2720000,0.015563213,460,6,2
5073,FWC,6303128.794,0.000209952,460,0,2
5073,FWC2,610000,0.022524099,460,1,2
5073,FWC3,25500000,0.00676575,460,3,2
5073,JLB,11000000,2.42E-02,460,0,1.96
5073,JLB2c,3925000,0.00016844,460,0,2
5073,JLB3,14454000,0.006385881,460,0,2
5073,LKB,11700000,0,460,0,2
5073,LKB2,10508460,0,460,0,2
5073,LKB3,25500000,0,460,0,2
5073,Tbon2,28600000,3.85E-03,460,0,2
5073,Tbon3,18200000,0.019320434,460,7,2
6516,ARD2c,1640000,0,460,0,2
6516,ARD3,9520000,0,460,0,2
6516,CJ,8920000,0.009454161,460,0,1.27
6516,CJ2,7730000,0.004203253,460,1,2
6516,CJ3,2720000,0.010224833,460,4,2
6516,FWC,6303128.794,0.00003,460,0,2
6516,FWC2,610000,0.001813381,460,0,2
6516,FWC3,25500000,0.002079636,460,0,2
6516,JLB,11000000,0.0077278,460,0,1.96
6516,JLB2c,3925000,0,460,0,2
6516,JLB3,14454000,0.000580535,460,0,2
6516,LKB,11700000,0,460,0,2
6516,LKB2,10508460,0,460,0,2
6516,LKB3,25500000,0,460,0,2
6516,Tbon2,28600000,0.001068677,460,0,2
6516,Tbon3,18200000,0.002596532,460,0,2
7192,ARD2c,1640000,0,460,0,2
7192,ARD3,9520000,0,460,0,2
7192,CJ,8920000,0.001445931,460,0,1.27
7192,CJ2,7730000,0.000201526,460,0,2
7192,CJ3,2720000,0.000423681,460,1,2
7192,FWC,6303128.794,0,460,0,2
7192,FWC2,610000,0,460,0,2
7192,FWC3,25500000,0.0000277,460,0,2
7192,JLB,11000000,0,460,0,1.96
7192,JLB2c,3925000,0,460,0,2
7192,JLB3,14454000,0,460,0,2
7192,LKB,11700000,0.00E+00,460,0,2
7192,LKB2,10508460,0,460,0,2
7192,LKB3,25500000,0,460,0,2
7192,Tbon2,28600000,0,460,0,2
7192,Tbon3,18200000,5.58E-05,460,0,2
7193,ARD2c,1640000,0,460,0,2
7193,ARD3,9520000,0,460,0,2
7193,CJ,8920000,0.000556127,460,0,1.27
7193,CJ2,7730000,0.001007629,460,1,2
7193,CJ3,2720000,0.001581742,460,0,2
7193,FWC,6303128.794,0,460,0,2
7193,FWC2,610000,0,460,0,2
7193,FWC3,25500000,0.0000555,460,0,2
7193,JLB,11000000,0,460,0,1.96
7193,JLB2c,3925000,0.00E+00,460,0,2
7193,JLB3,14454000,0,460,0,2
7193,LKB,11700000,0,460,0,2
7193,LKB2,10508460,0,460,0,2
7193,LKB3,25500000,0,460,0,2
7193,Tbon2,28600000,0,460,0,2
7193,Tbon3,18200000,0.0000838,460,0,2
5713,ARD2c,1640000,0,460,0,2
5713,ARD3,9520000,0.004072586,460,0,2
5713,CJ,8920000,0.017184328,460,0,1.27
5713,CJ2,7730000,0.012379444,460,1,2
5713,CJ3,2720000,0.027821715,460,0,2
5713,FWC,6303128.794,0.00047989,460,0,2
5713,FWC2,610000,0.014920625,460,0,2
5713,FWC3,25500000,0.012145075,460,0,2
5713,JLB,11000000,0.005689699,460,0,1.96
5713,JLB2c,3925000,4.04E-03,460,0,2
5713,JLB3,14454000,0.000203187,460,0,2
5713,LKB,11700000,1.17E-03,460,0,2
5713,LKB2,10508460,0.001199643,460,0,2
5713,LKB3,25500000,0.001110864,460,0,2
5713,Tbon2,28600000,0.007986951,460,0,2
5713,Tbon3,18200000,0.008599269,460,0,2
3526,ARD2c,1640000,0.005945723,460,0,2
3526,ARD3,9520000,0.000470979,460,1,2
3526,CJ,8920000,0,460,0,1.27
3526,CJ2,7730000,0,460,0,2
3526,CJ3,2720000,2.82E-05,460,0,2
3526,FWC,6303128.794,0.00009,460,0,2
3526,FWC2,610000,0,460,0,2
3526,FWC3,25500000,2.77E-05,460,0,2
3526,JLB,11000000,0,460,0,1.96
3526,JLB2c,3925000,0.00E+00,460,0,2
3526,JLB3,14454000,0,460,0,2
3526,LKB,11700000,0,460,0,2
3526,LKB2,10508460,0.00E+00,460,0,2
3526,LKB3,25500000,0,460,0,2
3526,Tbon2,28600000,0,460,0,2
3526,Tbon3,18200000,0.0000279,460,0,2
7279,ARD2c,1640000,0.000706423,460,0,2
7279,ARD3,9520000,0.0000277,460,0,2
7279,CJ,8920000,0.00E+00,460,0,1.27
7279,CJ2,7730000,0,460,0,2
7279,CJ3,2720000,0,460,0,2
7279,FWC,6303128.794,0.001589634,460,3,2
7279,FWC2,610000,0,460,0,2
7279,FWC3,25500000,1.94E-04,460,0,2
7279,JLB,11000000,0,460,0,1.96
7279,JLB2c,3925000,0.000196513,460,0,2
7279,JLB3,14454000,0.000145134,460,0,2
7279,LKB,11700000,0,460,0,2
7279,LKB2,10508460,0,460,0,2
7279,LKB3,25500000,0,460,0,2
7279,Tbon2,28600000,0,460,0,2
7279,Tbon3,18200000,0.00E+00,460,0,2
5504,ARD2c,1640000,0,460,0,2
5504,ARD3,9520000,0,460,0,2
5504,CJ,8920000,0.000111225,460,0,1.27
5504,CJ2,7730000,0,460,1,2
5504,CJ3,2720000,0.000762626,460,1,2
5504,FWC,6303128.794,0,460,0,2
5504,FWC2,610000,0,460,0,2
5504,FWC3,25500000,0.000720941,460,1,2
5504,JLB,11000000,0,460,0,1.96
5504,JLB2c,3925000,0,460,0,2
5504,JLB3,14454000,0.000029,460,0,2
5504,LKB,11700000,0,460,0,2
5504,LKB2,10508460,0,460,0,2
5504,LKB3,25500000,0,460,0,2
5504,Tbon2,28600000,0.0000562,460,0,2
5504,Tbon3,18200000,0.000223358,460,0,2
7518,ARD2c,1640000,0,460,0,2
7518,ARD3,9520000,0.0000277,460,0,2
7518,CJ,8920000,0.003753858,460,0,1.27
7518,CJ2,7730000,0.008262559,460,2,2
7518,CJ3,2720000,3.22E-03,460,0,2
7518,FWC,6303128.794,0.000299931,460,0,2
7518,FWC2,610000,0.004008526,460,0,2
7518,FWC3,25500000,0.003327418,460,0,2
7518,JLB,11000000,0.000905823,460,1,1.96
7518,JLB2c,3925000,4.01E-03,460,0,2
7518,JLB3,14454000,0.02745929,460,0,2
7518,LKB,11700000,0,460,0,2
7518,LKB2,10508460,0,460,0,2
7518,LKB3,25500000,0,460,0,2
7518,Tbon2,28600000,0.005259013,460,0,2
7518,Tbon3,18200000,0.005388503,460,1,2
1285,ARD2c,1640000,0,460,0,2
1285,ARD3,9520000,0,460,0,2
1285,CJ,8920000,0,460,0,1.27
1285,CJ2,7730000,0.000374262,460,0,2
1285,CJ3,2720000,0.0000565,460,0,2
1285,FWC,6303128.794,0,460,0,2
1285,FWC2,610000,0,460,0,2
1285,FWC3,25500000,0,460,0,2
1285,JLB,11000000,0.002717468,460,0,1.96
1285,JLB2c,3925000,0.000196513,460,0,2
1285,JLB3,14454000,0.003309048,460,1,2
1285,LKB,11700000,0,460,0,2
1285,LKB2,10508460,0,460,0,2
1285,LKB3,25500000,0,460,0,2
1285,Tbon2,28600000,0,460,0,2
1285,Tbon3,18200000,0,460,0,2
3488,ARD2c,1640000,0,460,0,2
3488,ARD3,9520000,0,460,0,2
3488,CJ,8920000,0,460,0,1.27
3488,CJ2,7730000,0.000546999,460,0,2
3488,CJ3,2720000,0.0000282,460,0,2
3488,FWC,6303128.794,0.00003,460,0,2
3488,FWC2,610000,0,460,0,2
3488,FWC3,25500000,0,460,0,2
3488,JLB,11000000,0.00E+00,460,0,1.96
3488,JLB2c,3925000,0.002975773,460,0,2
3488,JLB3,14454000,0.004789411,460,1,2
3488,LKB,11700000,0,460,0,2
3488,LKB2,10508460,0,460,0,2
3488,LKB3,25500000,0,460,0,2
3488,Tbon2,28600000,0,460,0,2
3488,Tbon3,18200000,0,460,0,2
2234,ARD2c,1640000,0.00020604,460,0,2
2234,ARD3,9520000,0.002188669,460,0,2
2234,CJ,8920000,0.000166838,460,0,1.27
2234,CJ2,7730000,0.002389521,460,0,2
2234,CJ3,2720000,0.000169472,460,0,2
2234,FWC,6303128.794,0.004498965,460,0,2
2234,FWC2,610000,0.000699901,460,0,2
2234,FWC3,25500000,0.001913265,460,1,2
2234,JLB,11000000,0.000254763,460,0,1.96
2234,JLB2c,3925000,0.010892451,460,5,2
2234,JLB3,14454000,0.006676149,460,0,2
2234,LKB,11700000,0.003459435,460,0,2
2234,LKB2,10508460,0.006388796,460,4,2
2234,LKB3,25500000,0.003082648,460,0,2
2234,Tbon2,28600000,0.002615445,460,0,2
2234,Tbon3,18200000,0.001507664,460,0,2
6379,ARD2c,1640000,0,460,0,2
6379,ARD3,9520000,5.54E-05,460,0,2
6379,CJ,8920000,0,460,0,1.27
6379,CJ2,7730000,0,460,0,2
6379,CJ3,2720000,0,460,0,2
6379,FWC,6303128.794,0.00009,460,0,2
6379,FWC2,610000,0,460,0,2
6379,FWC3,25500000,0,460,0,2
6379,JLB,11000000,0,460,0,1.96
6379,JLB2c,3925000,0.0000561,460,0,2
6379,JLB3,14454000,0,460,0,2
6379,LKB,11700000,0.000111595,460,0,2
6379,LKB2,10508460,0.001562326,460,2,2
6379,LKB3,25500000,0,460,0,2
6379,Tbon2,28600000,0.000478092,460,0,2
6379,Tbon3,18200000,0.0000279,460,0,2
6387,ARD2c,1640000,0,460,0,2
6387,ARD3,9520000,0.0000277,460,0,2
6387,CJ,8920000,0,460,0,1.27
6387,CJ2,7730000,0.000172736,460,0,2
6387,CJ3,2720000,0.00E+00,460,0,2
6387,FWC,6303128.794,0.00009,460,0,2
6387,FWC2,610000,0,460,0,2
6387,FWC3,25500000,0,460,0,2
6387,JLB,11000000,0,460,0,1.96
6387,JLB2c,3925000,6.74E-04,460,1,2
6387,JLB3,14454000,0.0000871,460,0,2
6387,LKB,11700000,0.000223189,460,0,2
6387,LKB2,10508460,0.000167392,460,0,2
6387,LKB3,25500000,0,460,0,2
6387,Tbon2,28600000,2.81E-05,460,0,2
6387,Tbon3,18200000,2.79E-05,460,0,2
6388,ARD2c,1640000,0,460,0,2
6388,ARD3,9520000,1.66E-04,460,0,2
6388,CJ,8920000,0,460,0,1.27
6388,CJ2,7730000,0.0000864,460,0,2
6388,CJ3,2720000,0.0000282,460,0,2
6388,FWC,6303128.794,0.001199724,460,0,2
6388,FWC2,610000,0.0000318,460,0,2
6388,FWC3,25500000,0.000305013,460,0,2
6388,JLB,11000000,0,460,0,1.96
6388,JLB2c,3925000,0.000140367,460,0,2
6388,JLB3,14454000,0,460,0,2
6388,LKB,11700000,0.000195291,460,0,2
6388,LKB2,10508460,0.00083696,460,1,2
6388,LKB3,25500000,0.0000833,460,0,2
6388,Tbon2,28600000,0.000281231,460,0,2
6388,Tbon3,18200000,0.000307117,460,0,2
