ID,Site,cell_counts_per_ml,rel_abund,num_wells_inoculated,num_isolates,cells_per_well,num_inoculated_wells,positive_well_med,positive_well_95pc_low,positive_well_95pc_high,taxon_positive_med,taxon_positive_95pc_low,taxon_positive_95pc_high,pure_well_med,pure_well_95pc_low,pure_well_95pc_high,taxon_pure_med,taxon_pure_95pc_low,taxon_pure_95pc_high,within_estimates,deviance,p_value
1000,CJ2,7730000.0,0.0032244129999999998,460,0,2.0,460,398.0,383.0,412.0,3.0,0.0,7.0,124.0,106.0,143.0,0.0,0.0,2.0,yes,,
1000,CJ3,2720000.0,0.000988589,460,0,2.0,460,398.0,383.0,411.0,1.0,0.0,3.0,124.0,106.0,143.0,0.0,0.0,1.0,yes,,
1000,FWC,6303128.794,0.000149966,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,1.0,124.0,106.0,144.0,0.0,0.0,0.0,yes,,
1000,FWC2,610000.0,0.000413578,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,2.0,125.0,106.0,144.0,0.0,0.0,1.0,yes,,
1000,FWC3,25500000.0,0.002467835,460,0,2.0,460,398.0,383.0,412.0,2.0,0.0,6.0,124.0,106.0,143.0,0.0,0.0,2.0,yes,,
1000,JLB,11000000.0,0.00033968400000000004,460,0,1.96,460,395.0,380.0,409.0,0.0,0.0,2.0,127.0,109.0,146.0,0.0,0.0,1.0,yes,,
1000,JLB2c,3925000.0,0.00533,460,1,2.0,460,398.0,383.0,412.0,5.0,1.0,9.0,124.0,106.0,143.0,0.0,0.0,3.0,yes,,
1000,JLB3,14454000.0,0.003425155,460,0,2.0,460,398.0,383.0,412.0,3.0,0.0,7.0,124.0,106.0,144.0,0.0,0.0,2.0,yes,,
1000,LKB,11700000.0,0.002176096,460,0,2.0,460,398.0,383.0,412.0,2.0,0.0,5.0,124.0,106.0,143.0,0.0,0.0,2.0,yes,,
1000,LKB2,10508460.0,0.001004352,460,1,2.0,460,398.0,383.0,412.0,1.0,0.0,3.0,124.0,106.0,143.0,0.0,0.0,1.0,yes,,
1000,LKB3,25500000.0,0.000666519,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,2.0,125.0,107.0,144.0,0.0,0.0,1.0,yes,,
1000,Tbon2,28600000.0,0.003402891,460,0,2.0,460,398.0,383.0,412.0,3.0,0.0,7.0,124.0,106.0,144.0,0.0,0.0,2.0,yes,,
1000,Tbon3,18200000.0,0.002875729,460,0,2.0,460,398.0,383.0,412.0,2.0,0.0,6.0,124.0,106.0,144.0,0.0,0.0,2.0,yes,,
2812,ARD2c,1640000.0,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,124.0,106.0,143.0,0.0,0.0,0.0,yes,,
2812,ARD3,9520000.0,0.0029644000000000003,460,0,2.0,460,398.0,383.0,411.0,3.0,0.0,6.0,124.0,106.0,143.0,0.0,0.0,2.0,yes,,
2812,CJ,8920000.0,0.0,460,0,1.27,460,331.0,312.0,349.0,0.0,0.0,0.0,164.0,144.0,184.0,0.0,0.0,0.0,yes,,
2812,CJ2,7730000.0,2.8800000000000002e-05,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,124.0,106.0,143.0,0.0,0.0,0.0,yes,,
2812,CJ3,2720000.0,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,124.0,106.0,144.0,0.0,0.0,0.0,yes,,
2812,FWC,6303128.794,5.9999999999999995e-05,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,1.0,124.0,106.0,143.0,0.0,0.0,0.0,yes,,
2812,FWC2,610000.0,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,125.0,106.0,143.0,0.0,0.0,0.0,yes,,
2812,FWC3,25500000.0,8.32e-05,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,1.0,124.0,107.0,144.0,0.0,0.0,0.0,yes,,
2812,JLB,11000000.0,0.0,460,0,1.96,460,395.0,381.0,409.0,0.0,0.0,0.0,127.0,108.0,146.0,0.0,0.0,0.0,yes,,
2812,JLB2c,3925000.0,0.00193706,460,0,2.0,460,398.0,383.0,412.0,2.0,0.0,5.0,125.0,106.0,143.0,0.0,0.0,1.0,yes,,
2812,JLB3,14454000.0,0.0083,460,2,2.0,460,398.0,383.0,412.0,7.0,3.0,13.0,124.0,106.0,144.0,1.0,0.0,3.0,yes,,
2812,LKB,11700000.0,0.000809061,460,0,2.0,460,398.0,383.0,412.0,1.0,0.0,3.0,124.0,106.0,143.0,0.0,0.0,1.0,yes,,
2812,LKB2,10508460.0,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,125.0,106.0,144.0,0.0,0.0,0.0,yes,,
2812,LKB3,25500000.0,0.000638747,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,2.0,125.0,106.0,143.0,0.0,0.0,1.0,yes,,
2812,Tbon2,28600000.0,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,124.0,106.0,143.0,0.0,0.0,0.0,yes,,
2812,Tbon3,18200000.0,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,125.0,106.0,144.0,0.0,0.0,0.0,yes,,
2825,ARD2c,1640000.0,0.001412845,460,0,2.0,460,398.0,383.0,412.0,1.0,0.0,4.0,124.0,106.0,144.0,0.0,0.0,1.0,yes,,
2825,ARD3,9520000.0,0.00124671,460,1,2.0,460,398.0,383.0,412.0,1.0,0.0,4.0,124.0,106.0,144.0,0.0,0.0,1.0,yes,,
2825,CJ,8920000.0,0.0,460,0,1.27,460,331.0,312.0,349.0,0.0,0.0,0.0,164.0,144.0,184.0,0.0,0.0,0.0,yes,,
2825,CJ2,7730000.0,0.000317,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,2.0,124.0,106.0,144.0,0.0,0.0,1.0,yes,,
2825,CJ3,2720000.0,0.0,460,0,2.0,460,398.0,383.0,412.0,0.0,0.0,0.0,124.0,106.0,143.0,0.0,0.0,0.0,yes,,
