ID,Site,num_inoculated_wells,positive_well_med,positive_well_95pc_low,positive_well_95pc_high,taxon_positive_med,taxon_positive_95pc_low,taxon_positive_95pc_high,pure_well_med,pure_well_95pc_low,pure_well_95pc_high,taxon_pure_med,taxon_pure_95pc_low,taxon_pure_95pc_high
2995,ARD2c,460,398.0,384.0,412.1,12.0,7.45,19.549999999999997,124.0,108.44999999999999,140.1,1.0,0.0,6.0
2995,ARD3,460,398.0,383.9,410.54999999999995,1.0,0.0,3.549999999999997,124.0,108.44999999999999,145.55,0.0,0.0,1.0
2995,CJ,460,333.0,315.9,349.54999999999995,0.0,0.0,0.0,163.0,145.45,183.0,0.0,0.0,0.0
2995,CJ2,460,398.0,381.45,409.54999999999995,0.0,0.0,0.0,126.0,105.35,139.55,0.0,0.0,0.0
2995,CJ3,460,399.0,383.35,408.0,0.0,0.0,0.0,125.0,109.0,144.55,0.0,0.0,0.0
2995,FWC,460,397.0,383.9,410.0,4.0,0.4500000000000002,8.0,125.0,105.9,141.0,0.0,0.0,2.0
2995,FWC2,460,398.0,381.45,414.54999999999995,0.0,0.0,0.0,124.0,107.0,139.75,0.0,0.0,0.0
2995,FWC3,460,397.0,384.9,411.65,0.0,0.0,0.0,126.0,106.8,141.1,0.0,0.0,0.0
2995,JLB,460,396.0,380.8,409.54999999999995,0.0,0.0,0.0,128.0,108.44999999999999,143.55,0.0,0.0,0.0
2995,JLB2c,460,398.0,383.9,413.1,3.0,1.0,6.549999999999997,127.0,109.0,147.39999999999998,0.0,0.0,2.0
2995,JLB3,460,397.0,385.45000000000005,410.54999999999995,0.0,0.0,2.0,125.0,106.0,137.0,0.0,0.0,0.5499999999999972
2995,LKB,460,397.0,382.0,411.0,0.0,0.0,0.5499999999999972,123.0,108.0,140.55,0.0,0.0,0.0
2995,LKB2,460,398.0,383.0,412.0,0.0,0.0,0.0,123.0,105.44999999999999,142.55,0.0,0.0,0.0
2995,LKB3,460,398.0,383.45,410.0,4.0,0.4500000000000002,7.549999999999997,123.0,108.0,141.55,0.0,0.0,2.0
2995,Tbon2,460,399.0,384.0,409.54999999999995,0.0,0.0,0.0,124.0,111.0,144.64999999999998,0.0,0.0,0.0
2995,Tbon3,460,398.0,382.0,411.1,0.0,0.0,0.0,124.0,107.0,140.0,0.0,0.0,0.0
2914,ARD2c,460,397.0,382.45000000000005,409.54999999999995,0.0,0.0,0.0,125.0,104.45,142.55,0.0,0.0,0.0
2914,ARD3,460,399.0,383.0,410.54999999999995,0.0,0.0,1.0,125.0,104.45,144.0,0.0,0.0,0.0
2914,CJ,460,331.0,310.9,347.55,1.0,0.0,4.0,163.0,145.89999999999998,183.64999999999998,0.0,0.0,2.0
2914,CJ2,460,398.0,384.45,410.65,1.0,0.0,3.0,126.0,106.45,143.1,0.0,0.0,1.0
2914,CJ3,460,397.0,382.0,411.55,0.0,0.0,1.5499999999999972,123.0,107.45,142.1,0.0,0.0,1.0
2914,FWC,460,398.0,382.9,409.54999999999995,1.0,0.0,4.0,125.0,107.0,145.0,0.0,0.0,1.0
2914,FWC2,460,398.0,382.45000000000005,413.54999999999995,0.0,0.0,1.5499999999999972,123.0,110.0,145.1,0.0,0.0,0.5499999999999972
2914,FWC3,460,397.0,383.0,408.55,0.0,0.0,2.0,122.0,103.9,140.1,0.0,0.0,1.0
2914,JLB,460,396.0,381.0,411.65,1.0,0.0,3.0,127.0,107.80000000000001,146.55,0.0,0.0,1.0
2914,JLB2c,460,398.0,382.9,409.54999999999995,0.0,0.0,3.0,125.0,106.9,144.0,0.0,0.0,1.0
2914,JLB3,460,399.0,386.45,412.0,11.0,7.0,17.0,126.0,106.45,143.1,1.0,0.0,5.0
2914,LKB,460,399.0,384.0,411.55,0.0,0.0,1.0,124.0,106.0,142.1,0.0,0.0,0.0
2914,LKB2,460,398.0,383.35,412.1,0.0,0.0,0.0,125.0,102.7,144.1,0.0,0.0,0.0
2914,LKB3,460,399.0,383.45,410.0,0.0,0.0,2.0,124.0,106.45,144.0,0.0,0.0,1.0
2914,Tbon2,460,398.0,383.9,412.55,0.0,0.0,2.0,126.0,103.45,142.0,0.0,0.0,1.0
2914,Tbon3,460,397.0,384.45,410.54999999999995,2.0,0.0,5.0,125.0,111.0,140.64999999999998,0.0,0.0,1.0
1000,ARD2c,460,398.0,382.45000000000005,408.0,0.0,0.0,1.0,126.0,105.9,140.0,0.0,0.0,1.0
1000,ARD3,460,398.0,383.0,413.65,2.0,0.0,5.0,125.0,104.0,145.0,0.0,0.0,1.5499999999999972
1000,CJ,460,330.0,312.35,350.0,0.0,0.0,2.0,163.0,145.45,185.55,0.0,0.0,1.0
1000,CJ2,460,397.0,385.45000000000005,411.55,3.0,0.0,6.0,124.0,106.45,140.0,0.0,0.0,2.0
1000,CJ3,460,398.0,381.9,414.09999999999997,1.0,0.0,3.0,127.0,110.44999999999999,143.0,0.0,0.0,1.0
1000,FWC,460,397.0,384.45,410.0,0.0,0.0,1.0,123.0,105.35,141.0,0.0,0.0,0.0
1000,FWC2,460,398.0,383.45,411.55,0.0,0.0,2.0,126.0,110.44999999999999,145.55,0.0,0.0,1.0
1000,FWC3,460,399.0,385.0,410.0,2.0,0.0,4.0,124.0,108.44999999999999,143.1,0.0,0.0,2.0
1000,JLB,460,394.0,382.35,409.0,0.0,0.0,2.0,128.0,108.9,146.0,0.0,0.0,1.0
1000,JLB2c,460,398.0,381.35,409.0,5.0,1.0,10.0,123.0,105.0,139.0,0.0,0.0,3.0
1000,JLB3,460,397.0,381.35,409.0,3.0,1.0,7.0,124.0,105.9,146.75,0.0,0.0,1.5499999999999972
1000,LKB,460,398.0,385.0,409.54999999999995,2.0,0.0,4.549999999999997,124.0,102.44999999999999,145.84999999999997,0.0,0.0,1.5499999999999972
1000,LKB2,460,397.0,384.0,412.65,1.0,0.0,4.0,123.0,108.0,139.55,0.0,0.0,1.0
1000,LKB3,460,399.0,385.45000000000005,411.55,0.0,0.0,3.0,125.0,104.35,143.1,0.0,0.0,1.0
1000,Tbon2,460,398.0,380.35,408.55,3.0,0.0,6.549999999999997,122.0,106.45,143.64999999999998,0.0,0.0,2.549999999999997
1000,Tbon3,460,398.0,380.4,410.54999999999995,2.0,0.0,6.549999999999997,124.0,107.45,142.55,0.0,0.0,1.5499999999999972
2812,ARD2c,460,399.0,387.0,410.0,0.0,0.0,0.0,124.0,105.80000000000001,140.55,0.0,0.0,0.0
2812,ARD3,460,398.0,385.45000000000005,412.65,3.0,0.0,5.549999999999997,125.0,110.9,144.2,0.0,0.0,2.0
2812,CJ,460,330.0,317.45,350.09999999999997,0.0,0.0,0.0,164.0,149.45,182.75,0.0,0.0,0.0
2812,CJ2,460,397.0,385.45000000000005,410.0,0.0,0.0,0.0,125.0,109.45,146.55,0.0,0.0,0.0
2812,CJ3,460,399.0,383.0,413.54999999999995,0.0,0.0,0.0,126.0,106.25,142.1,0.0,0.0,0.0
2812,FWC,460,397.0,383.0,410.09999999999997,0.0,0.0,1.0,124.0,104.45,137.55,0.0,0.0,0.0
2812,FWC2,460,397.0,388.0,410.09999999999997,0.0,0.0,0.0,125.0,106.0,143.55,0.0,0.0,0.0
2812,FWC3,460,396.0,382.0,411.55,0.0,0.0,1.0,126.0,111.0,145.1,0.0,0.0,0.0
2812,JLB,460,395.0,380.45000000000005,409.54999999999995,0.0,0.0,0.0,125.0,103.8,142.0,0.0,0.0,0.0
2812,JLB2c,460,399.0,383.0,411.0,1.0,0.0,5.0,125.0,105.35,143.64999999999998,0.0,0.0,2.0
2812,JLB3,460,398.0,383.45,411.2,8.0,3.0,14.0,126.0,108.35,144.0,1.0,0.0,3.0
2812,LKB,460,398.0,384.25,413.1,1.0,0.0,2.0,125.0,106.9,144.1,0.0,0.0,1.0
2812,LKB2,460,398.0,384.45,414.09999999999997,0.0,0.0,0.0,126.0,108.0,144.55,0.0,0.0,0.0
2812,LKB3,460,397.0,383.0,412.55,0.0,0.0,2.0,124.0,103.9,142.55,0.0,0.0,1.0
2812,Tbon2,460,397.0,381.45,407.0,0.0,0.0,0.0,122.0,108.44999999999999,138.2,0.0,0.0,0.0
2812,Tbon3,460,398.0,382.35,411.0,0.0,0.0,0.0,125.0,108.35,140.0,0.0,0.0,0.0
2825,ARD2c,460,398.0,382.0,408.55,1.0,0.0,4.0,126.0,109.0,141.55,0.0,0.0,1.0
2825,ARD3,460,397.0,381.45,412.2,1.0,0.0,4.0,124.0,106.25,141.0,0.0,0.0,1.0
2825,CJ,460,330.0,308.45000000000005,347.1,0.0,0.0,0.0,166.0,147.9,179.55,0.0,0.0,0.0
2825,CJ2,460,397.0,384.45,408.55,0.0,0.0,2.0,124.0,104.45,139.1,0.0,0.0,1.0
2825,CJ3,460,399.0,384.45,409.54999999999995,0.0,0.0,0.0,124.0,106.45,140.1,0.0,0.0,0.0
2825,FWC,460,398.0,386.0,411.0,0.0,0.0,1.0,126.0,109.45,146.55,0.0,0.0,0.0
2825,FWC2,460,400.0,381.9,411.55,0.0,0.0,1.0,124.0,108.9,141.1,0.0,0.0,0.0
2825,FWC3,460,396.0,384.0,411.55,0.0,0.0,1.0,124.0,103.25,140.0,0.0,0.0,0.0
2825,JLB,460,396.0,377.79999999999995,407.0,0.0,0.0,3.0,126.0,106.45,146.0,0.0,0.0,1.0
2825,JLB2c,460,397.0,383.0,411.0,4.0,1.0,7.549999999999997,124.0,106.45,140.75,0.0,0.0,2.0
2825,JLB3,460,397.0,384.9,412.65,6.0,2.0,12.0,125.0,109.0,143.0,1.0,0.0,2.0
2825,LKB,460,398.0,379.45,410.54999999999995,0.0,0.0,0.5499999999999972,124.0,106.9,143.0,0.0,0.0,0.0
2825,LKB2,460,396.0,383.45,408.0,0.0,0.0,0.0,125.0,106.45,142.0,0.0,0.0,0.0
2825,LKB3,460,398.0,383.45,412.1,0.0,0.0,2.0,124.0,108.44999999999999,144.0,0.0,0.0,1.0
2825,Tbon2,460,399.0,386.45,414.0,0.0,0.0,0.0,124.0,109.0,140.64999999999998,0.0,0.0,0.0
2825,Tbon3,460,398.0,385.45000000000005,412.55,0.0,0.0,0.0,127.0,106.0,144.0,0.0,0.0,0.0
2828,ARD2c,460,397.0,382.45000000000005,408.55,0.0,0.0,1.0,124.0,108.9,140.1,0.0,0.0,0.0
2828,ARD3,460,398.0,385.0,411.1,1.0,0.0,3.0,126.0,104.45,140.55,0.0,0.0,1.0
2828,CJ,460,330.0,312.0,346.09999999999997,0.0,0.0,0.0,164.0,141.45,182.55,0.0,0.0,0.0
2828,CJ2,460,397.0,381.35,410.54999999999995,0.0,0.0,1.0,124.0,110.0,145.0,0.0,0.0,0.0
